Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,loss,Paper Rex,Gen.G,1,2,30/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,loss,Paper Rex,DRX,1,2,23/03/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,loss,Paper Rex,DetonatioN FocusMe,0,2,01/02/2025,19:10
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,win,Paper Rex,ZETA DIVISION,2,0,26/01/2025,18:00
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,loss,Paper Rex,T1,1,2,20/01/2025,18:15
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,22/12/2024,17:00
Paper Rex x Spotlight Series vs. ZETA DIVISION GC,VCT OFF//SEASON Spotlight Series 2024: Pacific,win,Paper Rex x Spotlight Series,ZETA DIVISION GC,2,0,21/12/2024,17:00
Paper Rex x Spotlight Series vs. DRX Changers,VCT OFF//SEASON Spotlight Series 2024: Pacific,win,Paper Rex x Spotlight Series,DRX Changers,2,0,20/12/2024,17:00
Paper Rex x Spotlight Series vs. Xipto x Global Esports,VCT OFF//SEASON Spotlight Series 2024: Pacific,loss,Paper Rex x Spotlight Series,Xipto x Global Esports,0,2,19/12/2024,17:00
Paper Rex vs. Wolves Esports,Shanghai Esports Masters 2024,loss,Paper Rex,Wolves Esports,1,2,06/12/2024,18:30
DetonatioN FocusMe vs. Paper Rex,Valorant Radiant Asia Invitational,win,Paper Rex,DetonatioN FocusMe,3,1,01/12/2024,16:00
Paper Rex vs. Trace Esports,Valorant Radiant Asia Invitational,win,Paper Rex,Trace Esports,3,0,30/11/2024,16:00
DetonatioN FocusMe vs. Paper Rex,Valorant Radiant Asia Invitational,loss,Paper Rex,DetonatioN FocusMe,0,2,29/11/2024,16:00
DRX vs. Paper Rex,Valorant Radiant Asia Invitational,win,Paper Rex,DRX,2,1,28/11/2024,16:00
Rex Regum Qeon vs. Paper Rex,Valorant Radiant Asia Invitational,win,Paper Rex,Rex Regum Qeon,2,1,25/11/2024,18:30
EDward Gaming vs. Paper Rex,Valorant Radiant Asia Invitational,win,Paper Rex,EDward Gaming,2,1,24/11/2024,19:00
Team DDPY vs. Team FWA,Valorant Radiant Asia Invitational,win,Team DDPY,Team FWA,1,0,24/11/2024,14:30
Paper Rex vs. Gen.G,Valorant Radiant Asia Invitational,loss,Paper Rex,Gen.G,1,2,21/11/2024,18:15
Team f0rsakeN vs. Team xccurate,Champions Tour 2024 Pacific: Ascension,win,Team f0rsakeN,Team xccurate,1,0,29/09/2024,12:30
EDward Gaming vs. Paper Rex,Valorant Champions 2024,loss,Paper Rex,EDward Gaming,1,2,11/08/2024,17:15
FUT Esports vs. Paper Rex,Valorant Champions 2024,win,Paper Rex,FUT Esports,2,0,09/08/2024,17:25
G2 Esports vs. Paper Rex,Valorant Champions 2024,loss,Paper Rex,G2 Esports,0,2,04/08/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,loss,Paper Rex,DRX,2,3,20/07/2024,15:00
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 2,win,Paper Rex,TALON,2,0,14/07/2024,18:15
Paper Rex vs. Gen.G,Champions Tour 2024: Pacific Stage 2,loss,Paper Rex,Gen.G,0,2,13/07/2024,15:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 2,win,Paper Rex,ZETA DIVISION,2,1,07/07/2024,18:00
Paper Rex vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 2,win,Paper Rex,Rex Regum Qeon,2,1,05/07/2024,15:00
Paper Rex vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 2,win,Paper Rex,DetonatioN FocusMe,2,0,01/07/2024,15:00
Paper Rex vs. DRX,Champions Tour 2024: Pacific Stage 2,win,Paper Rex,DRX,2,1,22/06/2024,18:50
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 2,win,Paper Rex,TALON,2,0,16/06/2024,18:30
100 Thieves vs. Paper Rex,Champions Tour 2024: Masters Shanghai,loss,Paper Rex,100 Thieves,1,2,03/06/2024,15:00
Paper Rex vs. EDward Gaming,Champions Tour 2024: Masters Shanghai,win,Paper Rex,EDward Gaming,2,0,01/06/2024,18:00
Paper Rex vs. G2 Esports,Champions Tour 2024: Masters Shanghai,loss,Paper Rex,G2 Esports,1,2,31/05/2024,15:00
Paper Rex vs. Gen.G,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,Gen.G,3,2,12/05/2024,15:00
T1 vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,T1,2,0,05/05/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,DRX,2,1,04/05/2024,18:10
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,TALON,2,1,03/05/2024,17:10
BLEED vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,BLEED,2,0,27/04/2024,15:00
Global Esports vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,Global Esports,2,0,23/04/2024,17:50
Team Secret vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,loss,Paper Rex,Team Secret,0,2,21/04/2024,18:00
Gen.G vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,Gen.G,2,1,13/04/2024,15:00
T1 vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,win,Paper Rex,T1,2,0,07/04/2024,18:15
Sentinels vs. Paper Rex,Champions Tour 2024: Masters Madrid,loss,Paper Rex,Sentinels,1,3,23/03/2024,22:00
Paper Rex vs. LOUD,Champions Tour 2024: Masters Madrid,win,Paper Rex,LOUD,2,0,23/03/2024,12:55
Gen.G vs. Paper Rex,Champions Tour 2024: Masters Madrid,loss,Paper Rex,Gen.G,0,2,21/03/2024,22:00
Karmine Corp vs. Paper Rex,Champions Tour 2024: Masters Madrid,win,Paper Rex,Karmine Corp,2,1,18/03/2024,23:55
Team Heretics vs. Paper Rex,Champions Tour 2024: Masters Madrid,win,Paper Rex,Team Heretics,2,1,18/03/2024,12:20
EDward Gaming vs. Paper Rex,Champions Tour 2024: Masters Madrid,loss,Paper Rex,EDward Gaming,1,2,15/03/2024,22:00
Paper Rex vs. Gen.G,Champions Tour 2024: Pacific Kickoff,loss,Paper Rex,Gen.G,1,3,25/02/2024,15:00
T1 vs. Paper Rex,Champions Tour 2024: Pacific Kickoff,win,Paper Rex,T1,2,0,24/02/2024,15:00
Gen.G vs. Paper Rex,Champions Tour 2024: Pacific Kickoff,win,Paper Rex,Gen.G,2,1,19/02/2024,13:00
Sentinels vs. Paper Rex,AfreecaTV Valorant League,loss,Paper Rex,Sentinels,0,3,10/12/2023,16:25
T1 vs. Paper Rex,AfreecaTV Valorant League,win,Paper Rex,T1,2,0,09/12/2023,19:00
DRX vs. Paper Rex,AfreecaTV Valorant League,win,Paper Rex,DRX,2,0,07/12/2023,18:15
Paper Rex vs. FULL SENSE,AfreecaTV Valorant League,win,Paper Rex,FULL SENSE,2,0,07/12/2023,15:00
Sentinels vs. Paper Rex,AfreecaTV Valorant League,loss,Paper Rex,Sentinels,1,2,05/12/2023,15:00
Paper Rex vs. Indonesia Pacific,Valorant Indonesia CONNEXT 2023,win,Paper Rex,Indonesia Pacific,1,0,12/11/2023,20:20
CONNEXT Fantasy 1 vs. CONNEXT Fantasy 2,Valorant Indonesia CONNEXT 2023,win,CONNEXT Fantasy 1,CONNEXT Fantasy 2,1,0,12/11/2023,19:00
Paper Rex vs. CONNEXT Roster Hunt,Valorant Indonesia CONNEXT 2023,win,Paper Rex,CONNEXT Roster Hunt,1,0,12/11/2023,17:55
Paper Rex vs. Evil Geniuses,Valorant Champions 2023,loss,Paper Rex,Evil Geniuses,1,3,27/08/2023,2:30
Paper Rex vs. Evil Geniuses,Valorant Champions 2023,win,Paper Rex,Evil Geniuses,2,1,25/08/2023,2:00
LOUD vs. Paper Rex,Valorant Champions 2023,win,Paper Rex,LOUD,2,1,20/08/2023,2:00
Paper Rex vs. FUT Esports,Valorant Champions 2023,win,Paper Rex,FUT Esports,2,0,17/08/2023,4:25
Paper Rex vs. EDward Gaming,Valorant Champions 2023,win,Paper Rex,EDward Gaming,2,0,11/08/2023,6:45
Paper Rex vs. KRÜ Esports,Valorant Champions 2023,win,Paper Rex,KRÜ Esports,2,0,10/08/2023,2:00
Evil Geniuses vs. Paper Rex,Champions Tour 2023: Masters Tokyo,loss,Paper Rex,Evil Geniuses,2,3,24/06/2023,10:00
NRG Esports vs. Paper Rex,Champions Tour 2023: Masters Tokyo,win,Paper Rex,NRG Esports,2,1,21/06/2023,13:25
Paper Rex vs. EDward Gaming,Champions Tour 2023: Masters Tokyo,win,Paper Rex,EDward Gaming,2,1,20/06/2023,13:45
Paper Rex vs. FNATIC,Champions Tour 2023: Masters Tokyo,loss,Paper Rex,FNATIC,0,2,19/06/2023,12:15
Paper Rex vs. DRX,Champions Tour 2023: Masters Tokyo,win,Paper Rex,DRX,2,0,17/06/2023,12:30
Paper Rex vs. DRX,Champions Tour 2023: Pacific League,win,Paper Rex,DRX,3,2,28/05/2023,14:00
DRX vs. Paper Rex,Champions Tour 2023: Pacific League,win,Paper Rex,DRX,2,0,22/05/2023,15:00
Paper Rex vs. T1,Champions Tour 2023: Pacific League,win,Paper Rex,T1,2,0,20/05/2023,18:15
Rex Regum Qeon vs. Paper Rex,Champions Tour 2023: Pacific League,win,Paper Rex,Rex Regum Qeon,2,0,16/05/2023,17:30
Paper Rex vs. Gen.G,Champions Tour 2023: Pacific League,win,Paper Rex,Gen.G,2,0,12/05/2023,15:00
ZETA DIVISION vs. Paper Rex,Champions Tour 2023: Pacific League,win,Paper Rex,ZETA DIVISION,2,0,06/05/2023,17:30
TALON vs. Paper Rex,Champions Tour 2023: Pacific League,win,Paper Rex,TALON,2,1,01/05/2023,17:00
Paper Rex vs. Global Esports,Champions Tour 2023: Pacific League,win,Paper Rex,Global Esports,2,1,22/04/2023,15:00
Paper Rex vs. DRX,Champions Tour 2023: Pacific League,loss,Paper Rex,DRX,0,2,15/04/2023,16:00
T1 vs. Paper Rex,Champions Tour 2023: Pacific League,win,Paper Rex,T1,2,0,08/04/2023,18:10
Team Secret vs. Paper Rex,Champions Tour 2023: Pacific League,loss,Paper Rex,Team Secret,1,2,02/04/2023,16:00
Paper Rex vs. DetonatioN FocusMe,Champions Tour 2023: Pacific League,win,Paper Rex,DetonatioN FocusMe,2,0,26/03/2023,16:00
Cloud9 vs. Paper Rex,Champions Tour 2023: LOCK//IN São Paulo,loss,Paper Rex,Cloud9,0,2,15/02/2023,7:05
ZETA DIVISION vs. Paper Rex,Riot Games ONE Pro Invitational 2022,loss,Paper Rex,ZETA DIVISION,0,1,24/12/2022,11:20
Team Heretics vs. Paper Rex,Valorant India Invitational by Galaxy Racer,win,Paper Rex,Team Heretics,3,1,20/11/2022,13:30
Paper Rex vs. Team Secret,Valorant India Invitational by Galaxy Racer,win,Paper Rex,Team Secret,2,1,19/11/2022,22:15
BOOM Esports vs. Paper Rex,Valorant India Invitational by Galaxy Racer,win,Paper Rex,BOOM Esports,1,0,19/11/2022,12:30
Paper Rex vs. BLEED,Valorant India Invitational by Galaxy Racer,loss,Paper Rex,BLEED,0,1,19/11/2022,2:30
Paper Rex vs. Global Esports,Valorant India Invitational by Galaxy Racer,win,Paper Rex,Global Esports,1,0,19/11/2022,1:00
Paper Rex vs. Team Liquid,Valorant Champions 2022,loss,Paper Rex,Team Liquid,1,2,07/09/2022,21:00
Paper Rex vs. LEVIATÁN,Valorant Champions 2022,loss,Paper Rex,LEVIATÁN,0,2,02/09/2022,1:35
Paper Rex vs. EDward Gaming,Valorant Champions 2022,win,Paper Rex,EDward Gaming,2,1,31/08/2022,21:00
Paper Rex vs. FunPlus Phoenix,Valorant Champions Tour Stage 2: Masters Copenhagen,loss,Paper Rex,FunPlus Phoenix,2,3,24/07/2022,22:00
Paper Rex vs. OpTic Gaming,Valorant Champions Tour Stage 2: Masters Copenhagen,win,Paper Rex,OpTic Gaming,2,1,22/07/2022,22:00
Paper Rex vs. FNATIC,Valorant Champions Tour Stage 2: Masters Copenhagen,win,Paper Rex,FNATIC,2,0,17/07/2022,22:00
Paper Rex vs. Guild Esports,Valorant Champions Tour Stage 2: Masters Copenhagen,win,Paper Rex,Guild Esports,2,0,14/07/2022,22:00
Paper Rex vs. XERXIA Esports,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,XERXIA Esports,3,0,26/06/2022,13:45
Paper Rex vs. Team Secret,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,Team Secret,2,0,25/06/2022,16:30
Paper Rex vs. BLEED,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,BLEED,2,1,24/06/2022,10:00
Paper Rex vs. Alter Ego,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,Alter Ego,2,1,23/06/2022,10:00
Paper Rex vs. ORDER,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,ORDER,2,0,19/06/2022,10:00
Paper Rex vs. BOOM Esports,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,win,Paper Rex,BOOM Esports,2,0,16/06/2022,14:25
LaZe vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,LaZe,3,0,29/05/2022,11:30
Paper Rex vs. BLEED,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,BLEED,2,0,28/05/2022,17:20
Paper Rex vs. LaZe,Champions Tour Malaysia & Singapore Stage 2: Challengers,loss,Paper Rex,LaZe,1,2,28/05/2022,11:30
Paper Rex vs. No Namers,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,No Namers,2,0,27/05/2022,9:30
Paper Rex vs. Blitz Esports,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Blitz Esports,2,0,22/05/2022,11:55
Paper Rex vs. Todak,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Todak,2,0,21/05/2022,11:35
Paper Rex vs. KPMOONIIBLM9,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,KPMOONIIBLM9,2,0,20/05/2022,13:00
Paper Rex vs. Avium Esports,Champions Tour Malaysia & Singapore Stage 2: Challengers,win,Paper Rex,Avium Esports,2,0,19/05/2022,16:20
